load_carrier_id,origin_site,site_type,carrier_status,dispatch_timestamp,arrived_timestamp,carrier_comments,item_id,item_category,incoming_quality,assessed_grade,quality_note,weight_kg,routed_destination
LPN-MÖN-83209-LUU,Mönchengladbach,FC,In Transit,2026-02-09 18:17:33,,ok,ITEM-097546257,Zalando SE,B,,,2.71,Pending Assessment
LPN-MÖN-83209-LUU,Mönchengladbach,FC,In Transit,2026-02-09 18:17:33,,ok,ITEM-729125203,Expiring Beauty,B,,,0.62,Pending Assessment
LPN-MÖN-83209-LUU,Mönchengladbach,FC,In Transit,2026-02-09 18:17:33,,ok,ITEM-973804320,Zalando SE,A,,,-1.16,Pending Assessment
LPN-MÖN-83209-LUU,Mönchengladbach,FC,In Transit,2026-02-09 18:17:33,,ok,ITEM-979133459,Customer Return,A,,,2.81,Pending Assessment
LPN-MÖN-83209-LUU,Mönchengladbach,FC,In Transit,2026-02-09 18:17:33,,ok,ITEM-290707834,Zalando SE,A,,,3.14,Pending Assessment
LPN-MÖN-83209-LUU,Mönchengladbach,FC,In Transit,2026-02-09 18:17:33,,ok,ITEM-116098205,Zalando SE,A,,,1.67,Pending Assessment
LPN-MÖN-83209-LUU,Mönchengladbach,FC,In Transit,2026-02-09 18:17:33,,ok,ITEM-984681932,Zalando SE,A,,,1.37,Pending Assessment
LPN-MÖN-83209-LUU,Mönchengladbach,FC,In Transit,2026-02-09 18:17:33,,ok,ITEM-601778703,Expiring Beauty,B,,,0.36,Pending Assessment
LPN-MÖN-83209-LUU,Mönchengladbach,FC,In Transit,2026-02-09 18:17:33,,ok,ITEM-595710955,Expiring Beauty,B,,,2.2,Pending Assessment
LPN-MÖN-83209-LUU,Mönchengladbach,FC,In Transit,2026-02-09 18:17:33,,ok,ITEM-738427365,Zalando SE,A,,,3.02,Pending Assessment
LPN-MÖN-83209-LUU,Mönchengladbach,FC,In Transit,2026-02-09 18:17:33,,ok,ITEM-245162487,Zalando SE,A,,,2.23,Pending Assessment
LPN-MÖN-83209-LUU,Mönchengladbach,FC,In Transit,2026-02-09 18:17:33,,ok,ITEM-979663633,Expiring Beauty,A,,,2.4,Pending Assessment
LPN-MÖN-83209-LUU,Mönchengladbach,FC,In Transit,2026-02-09 18:17:33,,ok,ITEM-629743895,Expiring Beauty,A,,,0.61,Pending Assessment
LPN-LAH-14269-LUU,Lahr,FC,Delayed,2026-02-17 07:36:00,, weather delay ,ITEM-487396326,Zalando SE,B,,,3.09,Pending Assessment
LPN-LAH-14269-LUU,Lahr,FC,Delayed,2026-02-17 07:36:00,, weather delay ,ITEM-275592203,Zalando SE,B,,,0.12,Pending Assessment
LPN-LAH-14269-LUU,Lahr,FC,Delayed,2026-02-17 07:36:00,, weather delay ,ITEM-286317510,Expiring Beauty,A,,,1.54,Pending Assessment
LPN-LAH-14269-LUU,Lahr,FC,Delayed,2026-02-17 07:36:00,, weather delay ,ITEM-057255722,Zalando SE,A,,,2.06,Pending Assessment
LPN-LAH-14269-LUU,Lahr,FC,Delayed,2026-02-17 07:36:00,, weather delay ,ITEM-348436478,Customer Return,A,,,3.24,Pending Assessment
LPN-LAH-14269-LUU,Lahr,FC,Delayed,2026-02-17 07:36:00,, weather delay ,ITEM-914862367,Zalando SE,A,,,0.85,Pending Assessment
LPN-LAH-14269-LUU,Lahr,FC,Delayed,2026-02-17 07:36:00,, weather delay ,ITEM-724836480,Expiring Beauty,B,,,-1.51,Pending Assessment
LPN-LAH-14269-LUU,Lahr,FC,Delayed,2026-02-17 07:36:00,, weather delay ,ITEM-068254404,Zalando SE,A,,,1.82,Pending Assessment
LPN-LAH-14269-LUU,Lahr,FC,Delayed,2026-02-17 07:36:00,, weather delay ,ITEM-357141407,Zalando SE,B,,,0.27,Pending Assessment
LPN-LAH-14269-LUU,Lahr,FC,Delayed,2026-02-17 07:36:00,, weather delay ,ITEM-671230480,Zalando SE,B,,,2.16,Pending Assessment
LPN-LAH-14269-LUU,Lahr,FC,Delayed,2026-02-17 07:36:00,, weather delay ,ITEM-469203378,Zalando SE,A,,,0.32,Pending Assessment
LPN-LAH-14269-LUU,Lahr,FC,Delayed,2026-02-17 07:36:00,, weather delay ,ITEM-155208538,Zalando SE,A,,,3.17,Pending Assessment
LPN-LAH-14269-LUU,Lahr,FC,Delayed,2026-02-17 07:36:00,, weather delay ,ITEM-669116694,Zalando SE,B,,,0.11,Pending Assessment
LPN-LOD-14463-LUU,Lodz,RC,Arrived,2026-02-13 03:36:09,2026-02-16 10:57:09,ok,ITEM-722816084,Customer Return,D,D,,0.42,Overstock Partners
LPN-LOD-14463-LUU,Lodz,RC,Arrived,2026-02-13 03:36:09,2026-02-16 10:57:09,ok,ITEM-881422387,Customer Return,C,C,,1.18,Overstock Partners
LPN-LOD-14463-LUU,Lodz,RC,Arrived,2026-02-13 03:36:09,2026-02-16 10:57:09,ok,ITEM-236968274,Customer Return,A,A,MINOR SCUFFS,2.43,Outlet Stores
LPN-LOD-14463-LUU,Lodz,RC,Arrived,2026-02-13 03:36:09,2026-02-16 10:57:09,ok,ITEM-883765839,Customer Return,C,C,,-0.2,Overstock Partners
LPN-LOD-14463-LUU,Lodz,RC,Arrived,2026-02-13 03:36:09,2026-02-16 10:57:09,ok,ITEM-595364773,Customer Return,D,D,,3.31,Overstock Partners
LPN-LOD-14463-LUU,Lodz,RC,Arrived,2026-02-13 03:36:09,2026-02-16 10:57:09,ok,ITEM-845153317,Customer Return,B,B,MINOR SCUFFS,2.94,Overstock Partners
LPN-LOD-14463-LUU,Lodz,RC,Arrived,2026-02-13 03:36:09,2026-02-16 10:57:09,ok,ITEM-868474297,Customer Return,A,A,Mint condition,3.03,Outlet Stores
LPN-LOD-14463-LUU,Lodz,RC,Arrived,2026-02-13 03:36:09,2026-02-16 10:57:09,ok,ITEM-203692474,Customer Return,A,A,perfect,0.98,Outlet Stores
LPN-LOD-14463-LUU,Lodz,RC,Arrived,2026-02-13 03:36:09,2026-02-16 10:57:09,ok,ITEM-871211990,Customer Return,C,C,,0.63,Overstock Partners
LPN-LOD-14463-LUU,Lodz,RC,Arrived,2026-02-13 03:36:09,2026-02-16 10:57:09,ok,ITEM-006888060,Customer Return,B,B, original packaging,0.18,Overstock Partners
LPN-LOD-14463-LUU,Lodz,RC,Arrived,2026-02-13 03:36:09,2026-02-16 10:57:09,ok,ITEM-390986276,Customer Return,A,A,perfect,0.23,Outlet Stores
LPN-LOD-14463-LUU,Lodz,RC,Arrived,2026-02-13 03:36:09,2026-02-16 10:57:09,ok,ITEM-904669505,Customer Return,B,,,1.79,Pending Assessment
LPN-LAH-64453-LUU,Lahr,FC,Dispatched,2026-02-13 23:58:33,,ok,ITEM-371909106,Zalando SE,A,,,2.78,Pending Assessment
LPN-LAH-64453-LUU,Lahr,FC,Dispatched,2026-02-13 23:58:33,,ok,ITEM-629487862,Zalando SE,B,,,1.83,Pending Assessment
